Last Name,First Name,Email,Address,City,State,Zip,Phone
Anderson,Michael,michael.anderson@example.com,142 Maple St,Brighton,MI,48116,810-555-0142
Baker,Sarah,sarah.baker@example.com,2891 Whitmore Lake Rd,Whitmore Lake,MI,48189,734-555-0289
Carter,James,james.carter@example.com,77 Oak Ridge Dr,Howell,MI,48843,517-555-0177
Davidson,Emily,emily.davidson@example.com,1503 Hilltop Ave,Hartland,MI,48353,810-555-0153
Evans,Robert,robert.evans@example.com,640 Pine Valley Ct,Brighton,MI,48116,810-555-0640
Foster,Jennifer,jennifer.foster@example.com,2210 Lakeshore Dr,Pinckney,MI,48169,734-555-0221
Garcia,David,david.garcia@example.com,89 Birchwood Ln,Fenton,MI,48430,810-555-0089
Harris,Lisa,lisa.harris@example.com,3344 Spring Hill Rd,Howell,MI,48855,517-555-0334
Ingram,Christopher,chris.ingram@example.com,512 Cedar Creek Dr,Whitmore Lake,MI,48189,734-555-0512
Jackson,Amanda,amanda.jackson@example.com,98 Forest Glen Ave,Brighton,MI,48114,810-555-0098
Kelly,Matthew,matthew.kelly@example.com,2677 Hidden Lake Trl,Hartland,MI,48353,810-555-0267
Lewis,Nicole,nicole.lewis@example.com,150 River Bend Rd,Fowlerville,MI,48836,517-555-0150
Martin,Daniel,daniel.martin@example.com,420 Sunset Blvd,Pinckney,MI,48169,734-555-0420
Nelson,Ashley,ashley.nelson@example.com,1789 Meadowbrook Dr,Howell,MI,48843,517-555-0178
O'Brien,Joshua,joshua.obrien@example.com,55 Timber Ridge Ct,Brighton,MI,48116,810-555-0055
Parker,Megan,megan.parker@example.com,3201 Old Plank Rd,Fenton,MI,48430,810-555-0320
Quinn,Andrew,andrew.quinn@example.com,76 Willow Creek Dr,Whitmore Lake,MI,48189,734-555-0076
Roberts,Stephanie,stephanie.roberts@example.com,2933 Highland Ave,Hartland,MI,48353,810-555-0293
Scott,Brian,brian.scott@example.com,610 Lakeview Ter,Pinckney,MI,48169,734-555-0610
Turner,Rachel,rachel.turner@example.com,144 Stonebridge Dr,Howell,MI,48855,517-555-0144
Underwood,Kevin,kevin.underwood@example.com,2358 Greenfield Rd,Brighton,MI,48114,810-555-0235
Vargas,Laura,laura.vargas@example.com,80 Northridge Ct,Fowlerville,MI,48836,517-555-0080
Walker,Eric,eric.walker@example.com,3115 Deer Run Dr,Fenton,MI,48430,810-555-0311
Young,Heather,heather.young@example.com,29 Lakeshore Pointe,Whitmore Lake,MI,48189,734-555-0029
Zimmerman,Patrick,patrick.zimmerman@example.com,1908 Crooked Lake Rd,Hartland,MI,48353,810-555-0190
